disease,subtype,code_system,field_or_source,field_description,codes,code_value,match_rule,use_case,evidence_source,evidence_detail,phenotype_url,validation_source,validation_status,notes
Abdominal aortic aneurysm,broad endpoint,self-report operation,20004,Operation code,1104,aortic aneurysm/repair or stent,unclear,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20004,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,I71.4,"Abdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41204,Diagnoses - secondary ICD10,I71.4,"Abdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41204,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41204,Diagnoses - secondary ICD10,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41204,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41204,Diagnoses - secondary ICD10,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41204,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L18,Emergency replacement of aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L19,Other replacement of aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L20,Other emergency bypass of segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L27,Transluminal insertion of stent graft for aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L28,Transluminal operations on aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L254,Operations on aneurysm of aorta NEC,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L209,Unspecified other emergency bypass of segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41210,Operative procedures - secondary OPCS4,L18,Emergency replacement of aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41210,Operative procedures - secondary OPCS4,L19,Other replacement of aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41210,Operative procedures - secondary OPCS4,L20,Other emergency bypass of segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41210,Operative procedures - secondary OPCS4,L27,Transluminal insertion of stent graft for aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41210,Operative procedures - secondary OPCS4,L28,Transluminal operations on aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41210,Operative procedures - secondary OPCS4,L254,Operations on aneurysm of aorta NEC,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41210,Operative procedures - secondary OPCS4,L209,Unspecified other emergency bypass of segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,40001,Underlying (primary) cause of death: ICD10,I71.4,"Abdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint; death registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40001,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,40001,Underlying (primary) cause of death: ICD10,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint; death registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40001,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,40001,Underlying (primary) cause of death: ICD10,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",exact,incident/prevalent endpoint; death registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40001,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,40002,Contributory (secondary) causes of death: ICD10,I71.4,"Abdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint; death registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,40002,Contributory (secondary) causes of death: ICD10,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint; death registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,40002,Contributory (secondary) causes of death: ICD10,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",exact,incident/prevalent endpoint; death registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A11000,Emerg repl aneurysm bifurc aorta by anast aorta to fem art,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A11200,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A11211,Y graft of abdominal Aortic aneurysm (emergency),exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A13.00,Emergency replacement of aneurysmal segment of aorta,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A13.11,Emergency repair of aortic aneurysm,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A13300,Emerg replace aneurysm infrarenal aorta by anast aorta/aorta,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A13400,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A13411,Tube graft abdominal Aortic aneurysm (emergency),exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A13y00,Emergency replacement of aneurysmal segment of aorta OS,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,7A13z00,Emergency replacement of aneurysmal segment of aorta NOS,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,G714.00,Abdominal aortic aneurysm without mention of rupture,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,G714.11,AAA - Abdominal aortic aneurysm without mention of rupture,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,G716.00,Aortic aneurysm without mention of rupture NOS,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,G716000,"Thoracoabdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,14AE.00,H/O: aortic aneurysm,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,XE0F2,Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,primary-care Read/CTV3,42040,GP clinical event records,XE0Ey,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42040,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,self-report illness,20002,"Non-cancer illness code, self-reported",1606,incisional hernia,exact,incident/prevalent endpoint; cancer registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,self-report illness,20002,"Non-cancer illness code, self-reported",1513,inguinal hernia,exact,incident/prevalent endpoint; cancer registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,self-report illness,20002,"Non-cancer illness code, self-reported",1605,femoral hernia,exact,incident/prevalent endpoint; cancer registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,self-report illness,20002,"Non-cancer illness code, self-reported",1512,umbilical hernia,exact,incident/prevalent endpoint; cancer registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,self-report illness,20002,"Non-cancer illness code, self-reported",1511,abdominal hernia,exact,incident/prevalent endpoint; cancer registry source,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20002,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,K40,Inguinal hernia,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,K41,Femoral hernia,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,K42,Umbilical hernia,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal Hernia,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,K43,Ventral hernia,exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_hernia_abdo.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
